Op,theta0,L0,omega,phi,ell,Oeq,Ub,Ut,Ua,Utotal,exitflag
2,3.14159265358979,0.196349540849362,4.45790874479376,1.10575817244589,0.0585578094168815,2.13479745039607,0.486896481487301,0.502095389512219,4.84853852564589e-05,0.989040356384776,2
2.01,3.15730061685774,0.197331288553609,4.4623485535907,1.10920157359256,0.0585681274477168,2.14509304095346,0.484691250111626,0.498828082120575,4.97983302180415e-05,0.983569130562419,2
2.02,3.17300858012569,0.198313036257856,4.46672656105078,1.11264209865357,0.0585789572027951,2.15536616953591,0.482420096979651,0.495461808233757,5.10904986892401e-05,0.977932995712098,2
2.03,3.18871654339364,0.199294783962102,4.47104421552002,1.11608011716602,0.0585902879590806,2.16561700336688,0.480083609136325,0.491998753587242,5.2390332000245e-05,0.972134753055567,2
2.04,3.20442450666159,0.200276531666349,4.47530290830922,1.11951599308932,0.058602108655516,2.17584568406921,0.477682705384121,0.488440772120263,5.36778887019825e-05,0.966177155393086,2
2.05,3.22013246992954,0.201258279370596,4.47950403066246,1.12295012981724,0.0586144059787666,2.18605246073003,0.47521827100749,0.484789689036927,5.49482050171997e-05,0.960062908249434,2
2.06,3.23584043319749,0.202240027074843,4.48364896030972,1.12638296013908,0.0586271654185586,2.19623765835272,0.472690572126198,0.481047879733897,5.62191397763704e-05,0.953794670999871,2
2.07,3.25154839646544,0.20322177477909,4.48773884667854,1.12981476532056,0.0586403841497828,2.20640114086909,0.470100801134494,0.477216783121405,5.74737120548973e-05,0.947375057967954,2
2.08,3.26725635973339,0.204203522483337,4.49177502877168,1.1332460212882,0.0586540450743993,2.21654333684862,0.467449477377833,0.473298443264008,5.87188541239276e-05,0.940806639495965,2
2.09,3.28296432300133,0.205185270187583,4.49575866804361,1.13667709203024,0.0586681402207669,2.22666432948797,0.464737215811653,0.469294778013001,5.99491691013661e-05,0.934091942993756,2
2.1,3.29867228626928,0.20616701789183,4.49969087353941,1.14010833074925,0.0586826633650307,2.23676415650234,0.461964487146057,0.465207791089507,6.11757217701657e-05,0.927233453957334,2
2.11,3.31438024953723,0.207148765596077,4.50357280314062,1.14354016808567,0.0586976025040351,2.24684306846641,0.459132058543478,0.461039163991639,6.23944427232051e-05,0.92023361697784,2
2.12,3.33008821280518,0.208130513300324,4.50740557268943,1.14697303417503,0.05871294618444,2.25690129718091,0.4562406228692,0.456790619814228,6.35940242572861e-05,0.913094836707685,2
2.13,3.34579617607313,0.209112261004571,4.51119017870844,1.1504072868415,0.0587286895970376,2.26693884502782,0.453290365193285,0.452464330109471,6.478352416135e-05,0.905819478826918,2
2.14,3.36150413934108,0.210094008708817,4.51492766513359,1.15384335999447,0.0587448223361806,2.27695591871245,0.450282196926994,0.448061719881621,6.59541638467368e-05,0.898409870972461,2
2.15,3.37721210260903,0.211075756413064,4.51861899116029,1.15728164375025,0.0587613384327116,2.28695257730565,0.447216476002794,0.4435847118637,6.71157900620945e-05,0.890868303656556,2
2.16,3.39292006587698,0.212057504117311,4.52226511536919,1.16072256039293,0.0587782298273911,2.29692895285933,0.444093769032428,0.439034998698469,6.82634275391992e-05,0.883197031158436,2
2.17,3.40862802914493,0.213039251821558,4.52586694816603,1.16416651976347,0.0587954903077202,2.30688511925533,0.440914373946678,0.434414497035457,6.94014259056029e-05,0.875398272408041,2
2.18,3.42433599241287,0.214020999525805,4.52942539379618,1.1676139584368,0.0588131122296428,2.31682120438466,0.437678924155876,0.429724761929045,7.05257548556986e-05,0.867474211839777,2
2.19,3.44004395568082,0.215002747230051,4.53294132632985,1.17106531684588,0.0588310885460876,2.32673732220503,0.434387927232733,0.424967436078524,7.16369231827809e-05,0.859427000234441,2
2.2,3.45575191894877,0.215984494934298,4.53641557560387,1.17452102453874,0.0588494135728758,2.33663352921394,0.431041501646756,0.420144528622147,7.27252798918991e-05,0.851258755548795,2
2.21,3.47145988221672,0.216966242638545,4.53984897803802,1.17798155011711,0.0588680800882772,2.34650996603941,0.427640358421651,0.41525740266391,7.38026336746781e-05,0.842971563719236,2
2.22,3.48716784548467,0.217947990342792,4.54324222684342,1.18144724898969,0.0588870897278133,2.35636642203218,0.424184551477665,0.410308049696021,7.48782826517736e-05,0.834567479456338,2
2.23,3.50287580875262,0.218929738047039,4.54659623823342,1.18491873648823,0.0589064256148532,2.3662033951717,0.420674829047766,0.405297777366329,7.59206136468291e-05,0.826048527027742,2
2.24,3.51858377202057,0.219911485751285,4.54991163384864,1.18839635812666,0.0589260923242844,2.376020584413,0.417111228683897,0.400228510280048,7.69620514255303e-05,0.81741670101537,2
2.25,3.53429173528852,0.220893233455532,4.55318920213742,1.19188066416349,0.058946079775664,2.38581823466833,0.41349423399354,0.395101750855678,7.79822225221393e-05,0.80867396707174,2
2.26,3.54999969855647,0.221874981159779,4.55642961428307,1.19537211472369,0.0589663860507241,2.39559629987976,0.409824079746958,0.389919182684605,7.90002222424284e-05,0.799822262653806,2
2.27,3.56570766182442,0.222856728864026,4.55963356590197,1.19887122861137,0.0589870052022684,2.4053548607838,0.406101064689791,0.384682444889337,7.99881650883734e-05,0.790863497744217,2
2.28,3.58141562509236,0.223838476568273,4.56280173207235,1.20237853649673,0.0590079324624665,2.41509399018618,0.402325574825907,0.379393019685703,8.09610614562155e-05,0.781799555573066,2
2.29,3.59712358836031,0.22482022427252,4.56593470697111,1.20589451277659,0.0590291678349995,2.4248135626175,0.398497626201621,0.374052740143649,8.19269680813889e-05,0.772632293313351,2
2.3,3.61283155162826,0.225801971976766,4.56903317438671,1.20941976628698,0.0590507029111396,2.43451377977501,0.394617714671219,0.368662959082443,8.28690135965931e-05,0.763363542767258,2
